"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26248","3.2. --- with required Custom Form but not filled out, all optional fields on Form","Add Person","Fri May 16 21:25:52 UTC 2025","failed","Fri May 16 21:26:19 UTC 2025","","3. Add Person with Custom Form","",""
"","26531","I.U_1 Import and verify User with all fields","","Fri May 16 21:28:17 UTC 2025","failed","Fri May 16 21:28:44 UTC 2025","","Import Users","",""
"","26221","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Fri May 16 21:23:41 UTC 2025","failed","Fri May 16 21:24:07 UTC 2025","","1. Org Admin","",""
"","26291","A.M_2. Add Media to Item","","Fri May 16 21:20:58 UTC 2025","failed","Fri May 16 21:21:25 UTC 2025","","Add Media","",""
"","1","3. Edit and verify reduced number of values on Person View page - Business Name","","Fri May 16 21:18:01 UTC 2025","skipped","Fri May 16 21:18:01 UTC 2025","","Edit Person","",""
"","2","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Fri May 16 21:15:48 UTC 2025","broken","Fri May 16 21:15:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","26531","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Fri May 16 21:26:02 UTC 2025","failed","Fri May 16 21:26:29 UTC 2025","","Import People","",""
"","0","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Fri May 16 21:15:51 UTC 2025","skipped","Fri May 16 21:15:51 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Fri May 16 21:18:03 UTC 2025","broken","Fri May 16 21:18:03 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","3","5 Five thousand notes for Item and verify notes count on search","","Fri May 16 21:23:49 UTC 2025","skipped","Fri May 16 21:23:49 UTC 2025","","Import Notes","",""
"","0","4 Validation messages for wrongly formatted values","","Fri May 16 21:18:37 UTC 2025","skipped","Fri May 16 21:18:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","5 Validation messages for invalid values","","Fri May 16 21:18:37 UTC 2025","skipped","Fri May 16 21:18:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","238","1.1.1 equals {email of the user (current user) who created a case}","Cases Search","Fri May 16 21:17:07 UTC 2025","failed","Fri May 16 21:17:08 UTC 2025","1.1 Created By","1 Org Admin","",""
"","26425","I.T_1.1 Import Legacy Tasks for Case","","Fri May 16 21:18:49 UTC 2025","failed","Fri May 16 21:19:16 UTC 2025","","Import Tasks","",""
"","0","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Fri May 16 21:17:10 UTC 2025","broken","Fri May 16 21:17:10 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","1","1 Import Locations with all fields","","Fri May 16 21:20:33 UTC 2025","broken","Fri May 16 21:20:33 UTC 2025","","Import Locations","",""
"","26242","1.1. All fields enabled -- redirect to View Added Person","Add Person","Fri May 16 21:23:15 UTC 2025","failed","Fri May 16 21:23:41 UTC 2025","","1. Org Admin","",""
"","26491","I.U_1 Import User with all fields - Precheck Only","","Fri May 16 21:28:44 UTC 2025","failed","Fri May 16 21:29:10 UTC 2025","","Import Users","",""
"","26715","1. Verify list of already existing services are in place and all listed services have a green status","","Fri May 16 21:20:35 UTC 2025","failed","Fri May 16 21:21:01 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","26675","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Fri May 16 21:18:40 UTC 2025","failed","Fri May 16 21:19:06 UTC 2025","","Edit User","",""
"","26539","3 Import Notes for Case - Precheck Only","","Fri May 16 21:23:23 UTC 2025","failed","Fri May 16 21:23:49 UTC 2025","","Import Notes","",""
"","1","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item","","Fri May 16 21:19:47 UTC 2025","broken","Fri May 16 21:19:47 UTC 2025","","Item Transactions & Actions","",""
"","26675","1.1 all fields turned on and edited, ""overwrite existing values"" turned OFF","Mass Update Cases","Fri May 16 21:16:28 UTC 2025","failed","Fri May 16 21:16:55 UTC 2025","","1. all fields enabled in Org Settings","",""
"","26805","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Fri May 16 21:15:38 UTC 2025","failed","Fri May 16 21:16:05 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","0","2 Import Locations with required fields - verify default properties","","Fri May 16 21:20:33 UTC 2025","skipped","Fri May 16 21:20:33 UTC 2025","","Import Locations","",""
"","1","6 Validation messages for blank values","","Fri May 16 21:18:37 UTC 2025","skipped","Fri May 16 21:18:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","26481","9 Validation messages for blank values","","Fri May 16 21:25:09 UTC 2025","failed","Fri May 16 21:25:35 UTC 2025","","Import Notes","",""
"","2","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Fri May 16 21:17:23 UTC 2025","broken","Fri May 16 21:17:23 UTC 2025","","Edit Item","",""
